# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9431401719946302,2.7484306397184226,0.003234801497249424,0,3.0,0.008846841348199203,0.0,0.0,0.0
 0.08995481844794086,1.9552779760182886,2.7484313249937955,0.003234801497249424,0.2698644553438226,3.0,0.008846841348199203,0.0,0.16383850427632035,0.0
 0.12793023497078157,1.967689389335753,2.7484333734907653,0.009456636939621909,0.38379070491234474,3.0000000000000004,0.008217581668788497,0.0,0.1994664674525462,0.0
 0.15754627355474757,1.9803714138167574,2.7484367742156106,0.015364043535903916,0.47263882066424273,3.0,0.007649251824879085,0.0,0.2215010923400625,0.0
 0.18290412943939738,1.9933210513310358,2.7484415161746076,0.02098083631375573,0.5487123883181921,2.999999999999999,0.007134584836104453,0.0,0.23582309451200884,0.0
 0.20558069731277095,2.0065353037483225,2.7484475883740345,0.02632849472256629,0.6167420919383129,3.0,0.006667332872868607,0.0,0.24511661250345865,0.0
 0.22637874735130875,2.020011172938351,2.748454979820168,0.031426442294690105,0.6791362420539262,2.9999999999999973,0.006242108384404628,0.0,0.25090957983985884,0.0
 0.245771569370568,2.033745660770856,2.7484636795192863,0.0362922871194516,0.7373147081117039,2.9999999999999973,0.005854244635254041,0.0,0.2541733756806877,0.0
 0.2640651540596273,2.0477357691155706,2.7484736764776665,0.040942029293170354,0.7921954621788818,2.999999999999997,0.005499688359844351,0.0,0.25556789529160145,0.0
 0.2814703579168961,2.06197849984223,2.7484849597015857,0.04539024061009381,0.8444110737506881,2.999999999999997,0.005174904500686479,0.0,0.25556150079909695,0.0
 0.2981394572997456,2.0764708548205677,2.7484975181973224,0.04965022066534412,0.8944183718992366,2.999999999999997,0.004876799648217507,0.0,0.25449698719979824,0.0
 0.31418645374998605,2.091209835920317,2.748511340971153,0.05373413291553617,0.942559361249958,3.000000000000007,0.004602664355627609,0.0,0.2526309509330694,0.0
 0.3296991641440497,2.1061924450112133,2.7485264170293555,0.05765312369393778,0.9890974924321491,3.000000000000007,0.004350113571540515,0.0,0.25015873536498295,0.0
 0.344746821067113,2.1214156839629896,2.7485427353782073,0.06141742652001743,1.034240463201339,3.0000000000000075,0.0041170435243796846,0.0,0.2472309910039764,0.0
 0.359385064238453,2.1368765546453803,2.748560285023985,0.065036453885825,1.078155192715359,2.9999999999999925,0.00390159187804673,0.0,0.2439650636555407,0.0
 0.373659338705332,2.152572058928119,2.7485790549729674,0.06851887816477381,1.120978016115996,2.999999999999992,0.0037021091161848654,0.0,0.24045305945009787,0.0
 0.38760727924582417,2.16849919868094,2.748599034231431,0.07187270314076319,1.1628218377374724,3.000000000000004,0.003517129693315794,0.0,0.23676769273403453,0.0
 0.4012604269542999,2.1846549757735776,2.7486202118056537,0.07510532742225597,1.2037812808628996,2.999999999999996,0.003345347246575119,0.0,0.2329666060426066,0.0
 0.4146454927030668,2.201036392075766,2.7486425767019127,0.07822360076140332,1.2439364781092002,3.0,0.003185592709010642,0.0,0.22909561747804366,0.0
 0.4277853051849616,2.2176404494572384,2.748666117926485,0.08123387421548872,1.2833559155548846,2.9999999999999956,0.0030368229750059464,0.0,0.22519119333860482,0.0
 0.4406995344300239,2.2344641497877293,2.7486908244856494,0.08414204491023261,1.3220986032900717,3.000000000000013,0.002898104635713857,0.0,0.22128235238919539,0.0
 0.45340525231710155,2.2515044949369734,2.748716685385682,0.08695359605307863,1.3602157569513045,2.999999999999991,0.002768594256633764,0.0,0.2173921529975447,0.0
 0.4659173726552893,2.2687584867747033,2.7487436896328608,0.08967363283196164,1.3977521179658676,2.9999999999999867,0.0026475328506514414,0.0,0.21353885488291657,0.0
 0.4782490008868023,2.2862231271706537,2.748771826233463,0.09230691460336075,1.4347470026604066,3.0000000000000044,0.002534243053370469,0.0,0.20973684462945555,0.0
 0.49041171500228903,2.3038954179945588,2.7488010841937665,0.0948578838840731,1.4712351450068668,3.0,0.002428102538794922,0.0,0.20599736932706814,0.0
 0.5024157934306275,2.3217723611161523,2.748831452520048,0.09733069246150662,1.5072473802918822,3.0000000000000044,0.0023285537959974716,0.0,0.2023291271804905,0.0
 0.5142704015776165,2.3398509584051688,2.7488629202185857,0.09972922498095364,1.542811204732849,2.9999999999999813,0.002235094291045548,0.0,0.19873874199514038,0.0
 0.5259837457750702,2.3581282117313416,2.7488954762956572,0.10205712027131167,1.5779512373252103,3.0,0.0021472583383668246,0.0,0.19523114743466574,0.0
 0.537563201295419,2.3766011229644057,2.7489291097575386,0.10431779065921803,1.6126896038862566,3.0,0.0020646342598663607,0.0,0.1918099027867295,0.0
 0.5490154195431186,2.395266693974094,2.7489638096105087,0.1065144395280017,1.6470462586293555,3.0000000000000098,0.0019868340675624086,0.0,0.18847744322385523,0.0
 0.5603464183887119,2.4141219266301412,2.7489995648608443,0.10865007721959159,1.6810392551661353,2.9999999999999902,0.001913517495690971,0.0,0.18523529398794206,0.0
 0.5715616587517088,2.4331638228022805,2.749036364514823,0.11072753556537676,1.714684976255126,2.9999999999999902,0.0018443615839192843,0.0,0.18208423849515645,0.0
 0.5826661098864869,2.4523893843602473,2.749074197578722,0.1127494810941595,1.74799832965946,2.99999999999997,0.0017790788890753243,0.0,0.1790244614556561,0.0
 0.5936643053260636,2.471795613173775,2.7491130530588195,0.11471842710971378,1.7809929159781899,2.99999999999999,0.0017174018628119691,0.0,0.17605566358838715,0.0
